"stable_id","file","line","end_line","scope","syntactic_contract_family","normative_anchor","work_item_anchor","classification","reason","evidence","source_sha256"
"R1-eee0c42fb0b0ce1ed1f8aea3","crates/kernel/eliot-host-state/src/redb_journal.rs","411","411","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-bc9fa23c39e7685bd34afc56","crates/kernel/eliot-host-state/src/redb_journal.rs","425","425","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-cffdc524394ba591f1d10f3a","crates/kernel/eliot-host-state/src/redb_journal.rs","468","468","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-dcc2236f708973ecb12a11cb","crates/kernel/eliot-host-state/src/redb_journal.rs","478","478","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-56a53cefb7c342affd27e536","crates/kernel/eliot-host-state/src/redb_journal.rs","480","480","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-0f5a6b15378cea57cb4eaa9c","crates/kernel/eliot-host-state/src/redb_journal.rs","481","481","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-77982852829eaffb59fa80cd","crates/kernel/eliot-host-state/src/redb_journal.rs","483","483","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-b64297bb62d6a66602635b27","crates/kernel/eliot-host-state/src/redb_journal.rs","485","485","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-98af2b7431fd74750196e07a","crates/kernel/eliot-host-state/src/redb_journal.rs","489","489","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-6622f7592f9621df48f70145","crates/kernel/eliot-host-state/src/redb_journal.rs","500","500","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-bd84d2fe355462ae2629cf76","crates/kernel/eliot-host-state/src/redb_journal.rs","502","502","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-3771ddb2387c84bc9458ca14","crates/kernel/eliot-host-state/src/redb_journal.rs","503","503","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-fe15542331cad601a471af8b","crates/kernel/eliot-host-state/src/redb_journal.rs","508","508","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-7333de1ec2b549ea17439ccd","crates/kernel/eliot-host-state/src/redb_journal.rs","512","512","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-5abe4dc583b6831a3f111413","crates/kernel/eliot-host-state/src/redb_journal.rs","515","515","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-e8e346a84e8ca53c3658e73f","crates/kernel/eliot-host-state/src/redb_journal.rs","519","519","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-0ebb7a07bd3a0bb46187393c","crates/kernel/eliot-host-state/src/redb_journal.rs","521","521","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-aea569644c4e2500a7954208","crates/kernel/eliot-host-state/src/redb_journal.rs","524","524","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-3225d8260785f134670a24d3","crates/kernel/eliot-host-state/src/redb_journal.rs","537","537","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-72f42f8d25ffc24254e49650","crates/kernel/eliot-host-state/src/redb_journal.rs","539","539","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-574a00a0f6d716dc891249cf","crates/kernel/eliot-host-state/src/redb_journal.rs","540","540","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-2dbc0fef0e3607927f2e1310","crates/kernel/eliot-host-state/src/redb_journal.rs","543","543","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-3065c98621f04fb176778564","crates/kernel/eliot-host-state/src/redb_journal.rs","548","548","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-f8bedb9df9d58122c1e24b1e","crates/kernel/eliot-host-state/src/redb_journal.rs","551","551","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-85d2f7a02b163695ca2b279e","crates/kernel/eliot-host-state/src/redb_journal.rs","557","557","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-8e883e3b46d2825831292a9b","crates/kernel/eliot-host-state/src/redb_journal.rs","570","570","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-dbf292996b3a9ea32484ab4b","crates/kernel/eliot-host-state/src/redb_journal.rs","572","572","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-8a6168fdbaa3babe0cda2788","crates/kernel/eliot-host-state/src/redb_journal.rs","573","573","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-49aebb6ee22634555ef60b76","crates/kernel/eliot-host-state/src/redb_journal.rs","576","576","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-4fab90c96e2ecf1e0cb50993","crates/kernel/eliot-host-state/src/redb_journal.rs","581","581","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-61aa4efc472b7aadf259f657","crates/kernel/eliot-host-state/src/redb_journal.rs","584","584","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-8a77a2baefeadc6dab5ba5eb","crates/kernel/eliot-host-state/src/redb_journal.rs","589","589","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-a7a216a729ea2a7214d2f603","crates/kernel/eliot-host-state/src/redb_journal.rs","590","590","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-a5477d2d8f55b934d6865c82","crates/kernel/eliot-host-state/src/redb_journal.rs","604","604","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-5182d241ef2e4964f5bd80f5","crates/kernel/eliot-host-state/src/redb_journal.rs","606","606","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-1c757c676d432204face22f9","crates/kernel/eliot-host-state/src/redb_journal.rs","607","607","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-c6140b741ccf195fd050cd8a","crates/kernel/eliot-host-state/src/redb_journal.rs","610","610","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-8b3f3addb03be24f19a69658","crates/kernel/eliot-host-state/src/redb_journal.rs","614","614","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-6e03eb10c9a81b287037889b","crates/kernel/eliot-host-state/src/redb_journal.rs","618","618","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-b8cc92e930ea3a47d6edee05","crates/kernel/eliot-host-state/src/redb_journal.rs","635","635","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-6c4497466a9c87179d545019","crates/kernel/eliot-host-state/src/redb_journal.rs","637","637","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-0b92e00fe055e8e2fff7128c","crates/kernel/eliot-host-state/src/redb_journal.rs","643","643","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-f1494007b50c103ce3866e9d","crates/kernel/eliot-host-state/src/redb_journal.rs","651","651","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-ab12332059577eb28826edcd","crates/kernel/eliot-host-state/src/redb_journal.rs","674","674","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-ecb4573ea3e5212ebb7706db","crates/kernel/eliot-host-state/src/redb_journal.rs","678","678","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-15b920f65d7bbe8e59004495","crates/kernel/eliot-host-state/src/redb_journal.rs","681","681","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-f605ee7431e2803fa426f121","crates/kernel/eliot-host-state/src/redb_journal.rs","684","684","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-d8ae5da372677bd330823356","crates/kernel/eliot-host-state/src/redb_journal.rs","687","687","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-fa693d78ce6e995080f09b31","crates/kernel/eliot-host-state/src/redb_journal.rs","690","690","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-a4dece1b8d9e54decadde0d1","crates/kernel/eliot-host-state/src/redb_journal.rs","693","693","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-892a7a29811718d6c9b74579","crates/kernel/eliot-host-state/src/redb_journal.rs","696","696","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-6b34aa3c109b40fdd30ecf84","crates/kernel/eliot-host-state/src/redb_journal.rs","699","699","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-c68f7bd7a5bd579a8ea32a19","crates/kernel/eliot-host-state/src/redb_journal.rs","766","766","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-46bc0a31277db462207595d5","crates/kernel/eliot-host-state/src/redb_journal.rs","770","770","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-e3351f9f5734fb26e65e9a80","crates/kernel/eliot-host-state/src/redb_journal.rs","773","773","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-b3a3f27bd07ae1627823ad47","crates/kernel/eliot-host-state/src/redb_journal.rs","819","819","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-4bbf6188e010206404526a2d","crates/kernel/eliot-host-state/src/redb_journal.rs","823","823","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-b8db9884c32b0bb59896f2a8","crates/kernel/eliot-host-state/src/redb_journal.rs","826","826","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-8f9d356f43013a07cc1b6270","crates/kernel/eliot-host-state/src/redb_journal.rs","927","927","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-53c851ce530128071d779c0f","crates/kernel/eliot-host-state/src/redb_journal.rs","984","984","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-e1101b3137edabe0d673b9d2","crates/kernel/eliot-host-state/src/redb_journal.rs","988","988","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-3452bbd0e446edb7d94d4c14","crates/kernel/eliot-host-state/src/redb_journal.rs","991","991","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-52d3b9cbebadb555630ae462","crates/kernel/eliot-host-state/src/redb_journal.rs","1014","1014","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-a10f51ce4006d5047befe5d2","crates/kernel/eliot-host-state/src/redb_journal.rs","1040","1040","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-b95cef7a62df2d4c6aee6b30","crates/kernel/eliot-host-state/src/redb_journal.rs","1062","1062","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-fc882ae799ef23024c27c66a","crates/kernel/eliot-host-state/src/redb_journal.rs","1066","1066","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-c2156309053869d30dddfcd0","crates/kernel/eliot-host-state/src/redb_journal.rs","1070","1070","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-753f6976dd28e43fc220ed48","crates/kernel/eliot-host-state/src/redb_journal.rs","1073","1073","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-608e24b9a086427157d59e0f","crates/kernel/eliot-host-state/src/redb_journal.rs","1080","1080","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-bba142c2d247525893bf213d","crates/kernel/eliot-host-state/src/redb_journal.rs","1091","1091","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-96e8ceee33092f258c4fd595","crates/kernel/eliot-host-state/src/redb_journal.rs","1094","1094","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-e52daf7784dce096a5c6daf3","crates/kernel/eliot-host-state/src/redb_journal.rs","1098","1098","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-47b20c7cfe65cf1099032ec0","crates/kernel/eliot-host-state/src/redb_journal.rs","1106","1106","production-or-mixed","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","01fa448d0a21576b49b0dacc23af6abc1c22f5dee3d996e496450ac76b661438"
"R1-af2479126513297e762bab89","crates/kernel/eliot-host-state/src/redb_store.rs","26","26","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
"R1-7a5b962795f0c2fa61419dc5","crates/kernel/eliot-host-state/src/redb_store.rs","36","36","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
"R1-23a39ce31259cfc9510e6e3a","crates/kernel/eliot-host-state/src/redb_store.rs","38","38","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
"R1-6895fc20c6e9b484523596fc","crates/kernel/eliot-host-state/src/redb_store.rs","42","42","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
"R1-8774e41ccb95ae294edfccfe","crates/kernel/eliot-host-state/src/redb_store.rs","118","118","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
"R1-3c47aa8a2a6955569e5ce30b","crates/kernel/eliot-host-state/src/redb_store.rs","122","122","production-or-mixed","typed/HostStateError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","HostStateError::Unavailable","78e5fec8d9bf14e4a1d736c184f4a3fe9a669dd0ae53f83475ee137d37209a44"
